tx_est_id;mes;ano;linkou;payment_bill_card;pos;emission_bill;linkou_pix;pos_pix;tef
1304;1;2021;0;0;1;0;0;0;0
1304;2;2021;0;0;1;0;0;0;0
1317;5;2021;0;0;1;0;0;0;0
1317;2;2021;0;0;1;0;0;0;0
1317;3;2021;0;0;1;0;0;0;0
1317;1;2021;0;0;1;0;0;0;0
1317;9;2021;0;0;1;0;0;0;0
1317;8;2021;0;0;1;0;0;0;0
1317;10;2021;0;0;1;0;0;0;0
1317;4;2021;0;0;1;0;0;0;0
1317;6;2021;0;0;1;0;0;0;0
1317;7;2021;0;0;1;0;0;0;0
1347;3;2021;0;0;1;0;0;0;0
1347;4;2021;0;0;1;0;0;0;0
1356;6;2021;0;0;1;0;0;0;0
1356;2;2021;0;0;1;0;0;0;0
1356;10;2021;0;0;1;0;0;0;0
1356;7;2021;0;0;1;0;0;0;0
1356;8;2021;0;0;1;0;0;0;0
1356;1;2021;0;0;1;0;0;0;0
1356;11;2021;0;0;1;0;0;0;0
1356;4;2021;0;0;1;0;0;0;0
1356;12;2021;0;0;1;0;0;0;0
1356;3;2021;0;0;1;0;0;0;0
1356;5;2021;0;0;1;0;0;0;0
1356;9;2021;0;0;1;0;0;0;0
1410;6;2021;0;0;1;0;0;0;0
1410;1;2021;0;0;1;0;0;0;0
1410;2;2021;0;0;1;0;0;0;0
1410;4;2021;0;0;1;0;0;0;0
1410;3;2021;0;0;1;0;0;0;0
1410;7;2021;0;0;1;0;0;0;0
1410;8;2021;0;0;1;0;0;0;0
1410;5;2021;0;0;1;0;0;0;0
1453;8;2021;0;0;1;0;0;0;0
1453;1;2021;0;0;1;0;0;0;0
1453;6;2021;0;0;1;0;0;0;0
1453;2;2021;0;0;1;0;0;0;0
1453;10;2021;0;0;1;0;0;0;0
1453;4;2021;0;0;1;0;0;0;0
1453;3;2021;0;0;1;0;0;0;0
1453;7;2021;0;0;1;0;0;0;0
1453;5;2021;0;0;1;0;0;0;0
1488;6;2021;0;0;1;0;0;0;0
1488;5;2021;0;0;1;0;0;0;0
1488;4;2021;0;0;1;0;0;0;0
1488;9;2021;0;0;1;0;0;0;0
1488;3;2021;0;0;1;0;0;0;0
1488;1;2021;0;0;1;0;0;0;0
1488;7;2021;0;0;1;0;0;0;0
1488;8;2021;0;0;1;0;0;0;0
1488;2;2021;0;0;1;0;0;0;0
1488;10;2021;0;0;1;0;0;0;0
1499;3;2021;0;0;1;0;0;0;0
1499;1;2021;0;0;1;0;0;0;0
1499;4;2021;0;0;1;0;0;0;0
1499;2;2021;0;0;1;0;0;0;0
1502;1;2021;0;0;1;0;0;0;0
1502;2;2021;0;0;1;0;0;0;0
1509;9;2021;1;0;0;0;0;0;0
1523;5;2021;0;0;1;0;0;0;0
1523;3;2021;0;0;1;0;0;0;0
1523;2;2021;0;0;1;0;0;0;0
1523;4;2021;0;0;1;0;0;0;0
1523;1;2021;0;0;1;0;0;0;0
1565;10;2021;0;0;1;0;0;0;0
1565;11;2021;0;0;1;0;0;0;0
1565;1;2021;0;0;1;0;0;0;0
1565;8;2021;0;0;1;0;0;0;0
1565;2;2021;0;0;1;0;0;0;0
1565;12;2021;0;0;1;0;0;0;0
1565;6;2021;0;0;1;0;0;0;0
1565;7;2021;0;0;1;0;0;0;0
1565;4;2021;0;0;1;0;0;0;0
1565;5;2021;0;0;1;0;0;0;0
1565;3;2021;0;0;1;0;0;0;0
1565;9;2021;0;0;1;0;0;0;0
1618;3;2021;0;0;1;0;0;0;0
1618;1;2021;0;0;1;0;0;0;0
1618;2;2021;0;0;1;0;0;0;0
1618;6;2021;0;0;1;0;0;0;0
1618;12;2021;0;0;1;0;0;0;0
1618;10;2021;0;0;1;0;0;0;0
1618;11;2021;0;0;1;0;0;0;0
1618;5;2021;0;0;1;0;0;0;0
1618;4;2021;0;0;1;0;0;0;0
1621;3;2021;0;0;1;0;0;0;0
1621;7;2021;0;0;1;0;0;0;0
1621;6;2021;0;0;1;0;0;0;0
1621;8;2021;0;0;1;0;0;0;0
1621;4;2021;0;0;1;0;0;0;0
1621;2;2021;0;0;1;0;0;0;0
1621;9;2021;0;0;1;0;0;0;0
1621;1;2021;0;0;1;0;0;0;0
1621;5;2021;0;0;1;0;0;0;0
1623;1;2021;0;0;1;0;0;0;0
1623;2;2021;0;0;1;0;0;0;0
1650;9;2021;0;0;1;0;0;0;0
1650;3;2021;0;0;1;0;0;0;0
1650;7;2021;0;0;1;0;0;0;0
1650;8;2021;0;0;1;0;0;0;0
1650;10;2021;0;0;1;0;0;0;0
