rec_est_id;rec_month;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;tx_est_id;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
8959;2021-04-01;4;2021;2.5;0.0;2.5;10.0;-7.5;1;1;0;2.5;3;7.0;8959;4;0;0;0;0;1;0;0;2021
9014;2021-02-01;2;2021;14416.1;0.0;14416.1;12018.0;2398.1;257;241;16;56.09;3;5.0;9014;2;0;0;0;0;1;0;0;2021
9014;2021-03-01;3;2021;6457.0;130.0;6587.0;14416.1;-7829.1;126;257;-131;52.28;3;6.0;9014;3;0;0;0;0;1;0;0;2021
9014;2021-04-01;4;2021;18422.0;0.0;18422.0;6587.0;11835.0;258;126;132;71.4;3;7.0;9014;4;0;0;0;0;1;0;0;2021
9014;2021-05-01;5;2021;20426.0;0.0;20426.0;18422.0;2004.0;270;258;12;75.65;3;8.0;9014;5;0;0;0;0;1;0;0;2021
9014;2021-06-01;6;2021;16661.2;0.0;16661.2;20426.0;-3764.8;287;270;17;58.05;3;9.0;9014;6;0;0;0;0;1;0;0;2021
9014;2021-07-01;7;2021;16906.0;0.0;16906.0;16661.2;244.8;325;287;38;52.02;3;10.0;9014;7;0;0;0;0;1;0;0;2021
9014;2021-08-01;8;2021;16745.0;0.0;16745.0;16906.0;-161.0;291;325;-34;57.54;3;11.0;9014;8;0;0;0;0;1;0;0;2021
9014;2021-09-01;9;2021;96.0;0.0;96.0;16745.0;-16649.0;3;291;-288;32.0;3;12.0;9014;9;0;0;0;0;1;0;0;2021
9020;2022-01-01;1;2022;440.0;0.0;440.0;270.0;170.0;1;2;-1;440.0;3;16.0;9020;1;0;0;0;0;1;0;0;2022
9020;2022-02-01;2;2022;0.0;105.0;105.0;440.0;-335.0;3;1;2;35.0;3;17.0;9020;2;0;0;0;0;1;0;0;2022
9022;2021-02-01;2;2021;13865.05;0.0;13865.05;20583.54;-6718.49;81;108;-27;171.17;3;5.0;9022;2;0;0;0;0;1;0;0;2021
9022;2021-03-01;3;2021;15554.27;407.42;15961.69;13865.05;2096.64;75;81;-6;212.82;3;6.0;9022;3;0;0;0;0;1;0;0;2021
