rec_est_id;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
1505;0.0;16870.25;16870.25;8101.34;8768.91;112;66;46;150.63;3;39.0;5;0;0;0;0;1;0;0;2022
1505;0.0;6087.03;6087.03;16870.25;-10783.22;53;112;-59;114.85;3;40.0;6;0;0;0;0;1;0;0;2022
1505;0.0;3874.96;3874.96;0.0;3874.96;2;0;2;1937.48;5;42.0;8;0;0;0;0;1;0;0;2022
1505;0.0;415.01;415.01;3874.96;-3459.95;2;2;0;207.51;3;43.0;9;0;0;0;0;1;0;0;2022
1505;0.0;170.0;170.0;415.01;-245.01;1;2;-1;170.0;3;44.0;10;0;0;0;0;1;0;0;2022
1505;0.0;5277.73;5277.73;170.0;5107.73;2;1;1;2638.87;3;45.0;11;0;0;0;0;1;0;0;2022
1505;0.0;411.94;411.94;5277.73;-4865.79;2;2;0;205.97;3;46.0;12;0;0;0;0;1;0;0;2022
1513;161.0;0.0;161.0;0.0;161.0;2;0;2;80.5;5;39.0;5;0;0;0;0;1;0;0;2022
1513;0.01;0.0;0.01;161.0;-160.99;1;2;-1;0.01;3;40.0;6;0;0;0;0;1;0;0;2022
1513;1499.0;0.0;1499.0;0.01;1498.99;6;1;5;249.83;3;41.0;7;0;0;0;0;1;0;0;2022
1569;52532.0;0.0;52532.0;104643.0;-52111.0;16;47;-31;3283.25;3;35.0;1;0;0;0;0;1;0;0;2022
1742;5543.28;0.0;5543.28;5567.4;-24.12;9;18;-9;615.92;3;34.0;1;0;1;0;0;0;0;0;2022
1742;3985.73;373.0;4358.73;5543.28;-1184.55;16;9;7;272.42;3;35.0;2;0;1;1;0;1;0;0;2022
1742;4631.0;37326.88;41957.88;4358.73;37599.15;17;16;1;2468.11;3;36.0;3;0;1;0;0;1;0;0;2022
1742;4218.3;450.0;4668.3;41957.88;-37289.58;15;17;-2;311.22;3;37.0;4;0;1;1;0;1;0;0;2022
1742;82085.2;43557.38;125642.58;4668.3;120974.28;31;15;16;4052.99;3;38.0;5;0;1;1;0;1;0;0;2022
1742;4670.5;34896.0;39566.5;125642.58;-86076.08;43;31;12;920.15;3;39.0;6;0;1;1;0;1;0;0;2022
1742;7794.42;581.0;8375.42;39566.5;-31191.08;13;43;-30;644.26;3;40.0;7;0;1;1;0;1;0;0;2022
1742;4934.94;4423.0;9357.94;8375.42;982.52;24;13;11;389.91;3;41.0;8;0;1;0;0;1;0;0;2022
1742;4231.3;6767.0;10998.3;9357.94;1640.36;29;24;5;379.25;3;42.0;9;0;1;1;0;1;0;0;2022
1742;18188.83;4736.25;22925.08;10998.3;11926.78;12;29;-17;1910.42;3;43.0;10;0;1;1;0;1;0;0;2022
1742;0.0;8439.15;8439.15;22925.08;-14485.93;20;12;8;421.96;3;44.0;11;0;1;0;0;1;0;0;2022
1742;175.0;10093.05;10268.05;8439.15;1828.9;33;20;13;311.15;3;45.0;12;0;1;1;0;1;0;0;2022
1742;0.0;2515.0;2515.0;10268.05;-7753.05;8;33;-25;314.38;3;46.0;1;0;1;0;0;0;0;0;2023
1742;0.0;1233.0;1233.0;2515.0;-1282.0;3;8;-5;411.0;3;47.0;2;0;1;0;0;0;0;0;2023
1946;2866.8;0.0;2866.8;444.0;2422.8;18;4;14;159.27;3;33.0;1;0;0;0;0;1;0;0;2022
1948;9550.0;0.0;9550.0;33040.1;-23490.1;15;31;-16;636.67;3;33.0;1;0;0;0;0;1;0;0;2022
1949;15157.15;0.0;15157.15;81278.27;-66121.12;9;12;-3;1684.13;3;33.0;1;0;0;0;1;0;0;0;2022
1949;12852.61;0.0;12852.61;15157.15;-2304.54;10;9;1;1285.26;3;34.0;2;0;0;0;1;0;0;0;2022
1949;5037.22;0.0;5037.22;12852.61;-7815.39;9;10;-1;559.69;3;35.0;3;0;0;1;1;0;0;0;2022
1949;7064.87;0.0;7064.87;5037.22;2027.65;4;9;-5;1766.22;3;36.0;4;0;0;0;1;0;0;0;2022
1949;11321.46;0.0;11321.46;7064.87;4256.59;4;4;0;2830.37;3;37.0;5;0;1;0;1;0;0;0;2022
1949;7539.24;0.0;7539.24;11321.46;-3782.22;4;4;0;1884.81;3;38.0;6;0;0;0;1;0;0;0;2022
1949;2605.13;0.0;2605.13;7539.24;-4934.11;3;4;-1;868.38;3;39.0;7;0;0;0;1;0;0;0;2022
1949;6515.42;0.0;6515.42;2605.13;3910.29;1;3;-2;6515.42;3;40.0;8;0;0;0;1;0;0;0;2022
1949;10032.39;0.0;10032.39;6515.42;3516.97;2;1;1;5016.2;3;41.0;9;0;0;0;1;0;0;0;2022
1956;13576.72;0.0;13576.72;12658.85;917.87;20;45;-25;678.84;3;33.0;1;0;0;0;0;1;0;0;2022
1986;1130.0;0.0;1130.0;4500.7;-3370.7;1;6;-5;1130.0;3;33.0;1;0;0;0;0;1;0;0;2022
1986;1422.0;0.0;1422.0;1130.0;292.0;1;1;0;1422.0;3;34.0;2;0;0;0;0;1;0;0;2022
2023;0.0;16954.0;16954.0;14828.6;2125.4;147;147;0;115.33;3;32.0;1;0;0;0;0;1;0;0;2022
2023;0.0;12877.0;12877.0;16954.0;-4077.0;162;147;15;79.49;3;33.0;2;0;0;0;0;1;0;0;2022
2023;0.0;7176.0;7176.0;12877.0;-5701.0;121;162;-41;59.31;3;34.0;3;0;0;0;0;1;0;0;2022
2023;0.0;10673.24;10673.24;7176.0;3497.24;139;121;18;76.79;3;35.0;4;0;0;0;0;1;0;0;2022
2023;0.0;16347.0;16347.0;10673.24;5673.76;153;139;14;106.84;3;36.0;5;0;0;0;0;1;0;0;2022
2023;0.0;10952.1;10952.1;16347.0;-5394.9;132;153;-21;82.97;3;37.0;6;0;0;0;0;1;0;0;2022
2023;0.0;15480.0;15480.0;10952.1;4527.9;162;132;30;95.56;3;38.0;7;0;0;0;0;1;0;0;2022
