tx_est_id;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef
28436;2022-10-01;0;0;0;0;1;1;0
28806;2023-06-01;0;0;0;0;1;0;0
32651;2023-06-01;0;0;0;0;1;1;0
27861;2022-12-01;0;0;0;0;1;1;0
21862;2022-01-01;0;0;0;0;1;0;0
27813;2022-09-01;0;0;0;0;1;0;0
28814;2022-11-01;0;1;0;0;0;0;0
28272;2022-12-01;0;0;0;0;1;0;0
26906;2022-09-01;0;0;0;0;1;0;0
24750;2023-02-01;0;0;0;0;1;0;0
20124;2022-01-01;0;0;0;0;1;0;0
21857;2022-01-01;0;0;0;0;1;0;0
24672;2023-04-01;0;0;0;0;1;0;0
32723;2023-05-01;0;0;0;0;1;0;0
5523;2022-01-01;0;0;0;0;1;0;0
6302;2022-07-01;0;1;0;0;0;0;0
28542;2023-01-01;0;0;0;0;1;0;0
31777;2023-05-01;0;0;0;0;1;0;0
27657;2023-04-01;0;0;0;0;1;0;0
22378;2022-04-01;0;0;0;0;0;0;1
28199;2023-05-01;0;0;0;0;1;0;0
12528;2022-02-01;0;0;0;0;1;0;0
6293;2022-10-01;0;1;0;0;0;0;0
19967;2022-06-01;0;0;0;0;1;0;0
27186;2022-10-01;0;0;0;0;1;0;0
21410;2022-01-01;0;0;0;0;1;0;0
27552;2022-11-01;0;0;0;0;1;0;0
28231;2023-01-01;0;0;0;0;1;0;0
26214;2022-08-01;0;0;0;0;1;1;0
28258;2022-11-01;0;0;0;0;1;0;0
26904;2023-03-01;0;0;0;0;1;0;0
22267;2023-01-01;0;0;0;0;0;0;1
7925;2022-03-01;0;0;0;0;1;0;0
23434;2022-08-01;0;0;0;0;1;0;0
27814;2022-12-01;0;0;0;0;1;1;0
26803;2023-03-01;0;0;0;0;1;0;0
28578;2022-10-01;0;0;0;0;1;0;0
21826;2022-03-01;0;0;0;0;1;0;0
21686;2023-01-01;0;0;0;0;1;0;0
24777;2023-03-01;0;0;0;0;1;0;0
31346;2023-04-01;0;1;0;0;0;0;0
12940;2022-01-01;0;0;0;0;1;0;0
24677;2022-12-01;0;0;0;0;1;0;0
