rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
518;3;2022;13213.619999999999;0.0;64.0;41.0;0;0;0;0;1;0;0;1;3
518;5;2022;4640.24;0.0;25.0;43.0;0;0;0;0;1;0;0;1;5
608;3;2021;6790.0;0.0;7.0;28.0;0;0;0;0;1;0;0;1;3
608;4;2021;3920.0;0.0;3.0;29.0;0;0;0;0;1;0;0;1;3
608;5;2021;2010.0900000000001;0.0;2.0;30.0;0;0;0;0;1;0;0;1;3
608;6;2021;1340.23;0.0;4.0;31.0;0;0;0;0;1;0;0;1;3
608;7;2021;1032.0;0.0;4.0;32.0;0;0;0;0;1;0;0;1;3
608;9;2021;1513.8600000000001;0.0;7.0;34.0;0;0;0;0;1;0;0;1;5
608;10;2021;3056.9;0.0;14.0;35.0;0;0;0;0;1;0;0;1;3
608;11;2021;3704.62;0.0;15.0;36.0;0;0;0;0;1;0;0;1;3
635;3;2021;0.0;143880.6;186.0;28.0;0;0;0;0;1;0;0;1;3
635;4;2021;0.0;74440.1;104.0;29.0;0;0;0;0;1;0;0;1;3
635;5;2021;0.0;38636.7;56.0;30.0;0;0;0;0;1;0;0;1;3
635;6;2021;0.0;24340.6;45.0;31.0;0;0;0;0;1;0;0;1;3
635;7;2021;0.0;33557.8;57.0;32.0;0;0;0;0;1;0;0;1;3
635;8;2021;0.0;33152.1;61.0;33.0;0;0;0;0;1;0;0;1;3
691;2;2022;1980.0;0.0;10.0;39.0;0;0;0;0;1;0;0;1;3
691;3;2022;4380.0;0.0;16.0;40.0;0;0;0;0;1;0;0;1;3
691;4;2022;5095.0;0.0;16.0;41.0;0;0;0;0;1;0;0;1;3
691;5;2022;3355.0;0.0;9.0;42.0;0;0;0;0;1;0;0;1;3
691;6;2022;1720.0;0.0;8.0;43.0;0;0;0;0;1;0;0;1;3
691;7;2022;655.0;0.0;6.0;44.0;0;0;0;0;1;0;0;1;3
691;9;2022;1015.0;0.0;5.0;46.0;0;0;0;0;1;0;0;1;5
691;10;2022;1590.0;0.0;4.0;47.0;0;0;0;0;1;0;0;1;3
728;6;2021;4927.2;0.0;36.0;10.0;0;0;0;0;1;0;0;1;3
728;7;2021;13876.3;0.0;77.0;11.0;0;0;0;0;1;0;0;1;3
728;8;2021;23839.9;0.0;100.0;12.0;0;0;0;0;1;0;0;1;3
728;9;2021;26681.0;0.0;119.0;13.0;0;0;0;0;1;0;0;1;3
728;10;2021;25701.1;0.0;118.0;14.0;0;0;0;0;1;0;0;1;3
728;11;2021;15933.4;0.0;62.0;15.0;0;0;0;0;1;0;0;1;3
868;3;2021;42257.0;0.0;14.0;28.0;0;0;0;0;1;0;0;1;3
868;4;2021;55957.0;0.0;14.0;29.0;0;0;0;0;1;0;0;1;3
868;5;2021;52473.0;0.0;16.0;30.0;0;0;0;0;1;0;0;1;3
868;7;2021;37459.0;0.0;14.0;32.0;0;0;0;0;1;0;0;1;5
868;8;2021;21815.0;0.0;8.0;33.0;0;0;0;0;1;0;0;1;3
904;3;2021;106871.73999999999;158.78;1935.0;28.0;0;0;0;0;1;0;0;1;3
904;4;2021;136102.55;158.78;2342.0;29.0;0;0;0;0;1;0;0;1;3
904;5;2021;165103.09000000003;0.0;2701.0;30.0;0;0;0;0;1;0;0;1;3
904;6;2021;119858.12000000001;0.0;1987.0;31.0;0;0;0;0;1;0;0;1;3
915;2;2021;93504.5;0.0;536.0;26.0;0;1;0;0;0;0;0;1;3
915;3;2021;101979.37;23.0;572.0;27.0;0;0;0;0;1;0;0;1;3
915;3;2021;110454.24;46.0;608.0;27.0;0;1;0;0;0;0;0;1;3
915;4;2021;75121.12;23.0;373.0;28.0;0;1;0;0;0;0;0;1;3
915;4;2021;39788.0;0.0;138.0;28.0;0;0;0;0;1;0;0;1;3
915;6;2021;20448.0;0.0;71.0;30.0;0;1;0;0;0;0;0;1;5
926;6;2022;24633.78;0.0;3.0;42.0;0;1;0;0;0;0;0;1;5
926;7;2022;27293.78;0.0;3.0;43.0;0;1;0;0;0;0;0;1;3
926;8;2022;7000.0;0.0;2.0;44.0;0;1;0;0;0;0;0;1;3
926;9;2022;3200.0;0.0;2.0;45.0;0;1;0;0;0;0;0;1;3
926;11;2022;13532.78;0.0;3.0;47.0;0;1;0;0;0;0;0;1;5
1018;2;2022;8644.5;0.0;53.0;38.0;0;0;0;0;1;0;0;1;3
1018;5;2022;3522.0;0.0;24.0;41.0;0;0;0;0;1;0;0;1;5
1018;6;2022;996.0;0.0;7.0;42.0;0;0;0;0;1;0;0;1;3
1018;8;2022;1161.0;0.0;6.0;44.0;0;0;0;0;1;0;0;1;5
1018;9;2022;505.0;0.0;3.0;45.0;0;0;0;0;1;0;0;1;3
1028;3;2021;8856.1;0.0;5.0;27.0;0;0;0;0;1;0;0;1;3
1028;4;2021;0.11;0.0;2.0;28.0;0;0;0;0;1;0;0;1;3
1028;6;2021;0.02;0.0;2.0;30.0;0;0;0;0;1;0;0;1;5
1032;2;2022;34008.46;17852.01;74.0;38.0;0;0;0;0;1;0;0;1;3
1032;3;2022;7256.08;16156.64;35.0;39.0;0;0;0;0;1;0;0;1;3
1032;4;2022;0.0;1788.5;3.0;40.0;0;0;0;0;1;0;0;1;3
