rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
331;6;2021;2946.0;0.0;35;33.0;0;0;0;0;1;0;0;1;3
335;2;2021;96507.05;0.0;59;29.0;0;1;0;0;0;0;0;1;3
335;2;2021;96507.05;0.0;59;29.0;0;0;0;0;1;0;0;1;3
335;3;2021;105016.5;1150.0;56;30.0;0;0;0;0;1;0;0;1;3
335;3;2021;105016.5;1150.0;56;30.0;0;1;0;0;0;0;0;1;3
335;4;2021;52198.6;13095.0;50;31.0;0;0;0;0;1;0;0;1;3
335;4;2021;52198.6;13095.0;50;31.0;0;1;0;0;0;0;0;1;3
335;5;2021;51260.16;453.0;43;32.0;0;1;0;0;0;0;0;1;3
335;5;2021;51260.16;453.0;43;32.0;0;0;0;0;1;0;0;1;3
335;6;2021;55798.0;0.0;41;33.0;0;0;0;0;1;0;0;1;3
335;7;2021;4410.0;0.0;1;34.0;0;0;0;0;1;0;0;1;3
335;8;2021;2035.0;0.0;4;35.0;0;0;0;0;1;0;0;1;3
335;9;2021;459.0;0.0;2;36.0;0;0;0;0;1;0;0;1;3
335;10;2021;2440.0;0.0;5;37.0;0;0;0;0;1;0;0;1;3
368;2;2021;8900.0;0.0;16;28.0;0;0;0;0;1;0;0;1;3
368;4;2021;3345.0;0.0;7;30.0;0;0;0;0;1;0;0;1;5
368;5;2021;9612.0;0.0;29;31.0;0;0;0;0;1;0;0;1;3
368;6;2021;8151.0;0.0;30;32.0;0;0;0;0;1;0;0;1;3
368;7;2021;26330.0;0.0;43;33.0;0;0;0;0;1;0;0;1;3
368;8;2021;17059.0;0.0;31;34.0;0;0;0;0;1;0;0;1;3
368;9;2021;20428.0;0.0;45;35.0;0;0;0;0;1;0;0;1;3
368;10;2021;11312.0;0.0;36;36.0;0;0;0;0;1;0;0;1;3
368;11;2021;12980.0;0.0;32;37.0;0;0;0;0;1;0;0;1;3
368;12;2021;8744.0;0.0;13;38.0;0;0;0;0;1;0;0;1;3
413;1;2022;120.0;0.0;2;39.0;0;0;0;0;1;0;0;1;3
414;1;2022;6755.0;0.0;6;39.0;0;0;0;0;1;0;0;1;3
470;2;2021;3455.3;0.0;11;28.0;0;0;0;0;1;0;0;1;3
470;3;2021;3754.6;0.0;16;29.0;0;0;0;0;1;0;0;1;3
470;4;2021;1058.8;0.0;5;30.0;0;0;0;0;1;0;0;1;3
471;2;2021;13618.0;0.0;144;28.0;0;0;0;0;1;0;0;1;3
471;3;2021;14638.0;185.0;149;29.0;0;0;0;0;1;0;0;1;3
471;4;2021;22705.0;0.0;141;30.0;0;0;0;0;1;0;0;1;3
471;5;2021;17288.0;0.0;148;31.0;0;0;0;0;1;0;0;1;3
471;6;2021;25416.0;0.0;172;32.0;0;0;0;0;1;0;0;1;3
471;7;2021;12636.0;0.0;140;33.0;0;0;0;0;1;0;0;1;3
471;8;2021;11073.0;0.0;87;34.0;0;0;0;0;1;0;0;1;3
471;9;2021;25.0;0.0;1;35.0;0;0;0;0;1;0;0;1;3
518;1;2022;6942.74;0.0;35;39.0;0;0;0;0;1;0;0;1;3
518;2;2022;8578.38;0.0;40;40.0;0;0;0;0;1;0;0;1;3
518;3;2022;4635.24;0.0;24;41.0;0;0;0;0;1;0;0;1;3
518;5;2022;5.0;0.0;1;43.0;0;0;0;0;1;0;0;1;5
608;2;2021;3990.0;0.0;5;27.0;0;0;0;0;1;0;0;1;3
608;3;2021;2800.0;0.0;2;28.0;0;0;0;0;1;0;0;1;3
608;4;2021;1120.0;0.0;1;29.0;0;0;0;0;1;0;0;1;3
608;5;2021;890.09;0.0;1;30.0;0;0;0;0;1;0;0;1;3
608;6;2021;450.14;0.0;3;31.0;0;0;0;0;1;0;0;1;3
608;7;2021;581.86;0.0;1;32.0;0;0;0;0;1;0;0;1;3
608;9;2021;932.0;0.0;6;34.0;0;0;0;0;1;0;0;1;5
608;10;2021;2124.9;0.0;8;35.0;0;0;0;0;1;0;0;1;3
608;11;2021;1579.72;0.0;7;36.0;0;0;0;0;1;0;0;1;3
635;2;2021;0.0;97469.6;121;27.0;0;0;0;0;1;0;0;1;3
635;3;2021;0.0;46411.0;65;28.0;0;0;0;0;1;0;0;1;3
635;4;2021;0.0;28029.1;39;29.0;0;0;0;0;1;0;0;1;3
635;5;2021;0.0;10607.6;17;30.0;0;0;0;0;1;0;0;1;3
635;6;2021;0.0;13733.0;28;31.0;0;0;0;0;1;0;0;1;3
635;7;2021;0.0;19824.8;29;32.0;0;0;0;0;1;0;0;1;3
635;8;2021;0.0;13327.3;32;33.0;0;0;0;0;1;0;0;1;3
691;1;2022;550.0;0.0;5;38.0;0;0;0;0;1;0;0;1;3
691;2;2022;1430.0;0.0;5;39.0;0;0;0;0;1;0;0;1;3
691;3;2022;2950.0;0.0;11;40.0;0;0;0;0;1;0;0;1;3
691;4;2022;2145.0;0.0;5;41.0;0;0;0;0;1;0;0;1;3
691;5;2022;1210.0;0.0;4;42.0;0;0;0;0;1;0;0;1;3
691;6;2022;510.0;0.0;4;43.0;0;0;0;0;1;0;0;1;3
691;7;2022;145.0;0.0;2;44.0;0;0;0;0;1;0;0;1;3
691;9;2022;870.0;0.0;3;46.0;0;0;0;0;1;0;0;1;5
691;10;2022;720.0;0.0;1;47.0;0;0;0;0;1;0;0;1;3
728;5;2021;1737.0;0.0;14;9.0;0;0;0;0;1;0;0;1;5
728;6;2021;3190.2;0.0;22;10.0;0;0;0;0;1;0;0;1;3
728;7;2021;10686.1;0.0;55;11.0;0;0;0;0;1;0;0;1;3
728;8;2021;13153.8;0.0;45;12.0;0;0;0;0;1;0;0;1;3
728;9;2021;13527.2;0.0;74;13.0;0;0;0;0;1;0;0;1;3
728;10;2021;12173.9;0.0;44;14.0;0;0;0;0;1;0;0;1;3
728;11;2021;3759.5;0.0;18;15.0;0;0;0;0;1;0;0;1;3
732;1;2022;24293.0;0.0;243;38.0;0;0;0;0;1;0;0;1;3
732;2;2022;5373.0;0.0;55;39.0;0;0;0;0;1;0;0;1;3
862;1;2022;4403.17;0.0;146;38.0;0;0;0;0;1;0;0;1;3
862;2;2022;1737.58;0.0;26;39.0;0;0;0;0;1;0;0;1;3
868;2;2021;17229.0;0.0;8;27.0;0;0;0;0;1;0;0;1;3
868;3;2021;25028.0;0.0;6;28.0;0;0;0;0;1;0;0;1;3
868;4;2021;30929.0;0.0;8;29.0;0;0;0;0;1;0;0;1;3
868;5;2021;21544.0;0.0;8;30.0;0;0;0;0;1;0;0;1;3
868;7;2021;15915.0;0.0;6;32.0;0;0;0;0;1;0;0;1;5
868;8;2021;5900.0;0.0;2;33.0;0;0;0;0;1;0;0;1;3
870;1;2022;12038.0;0.0;12;38.0;0;0;0;0;1;0;0;1;3
870;2;2022;7470.0;0.0;8;39.0;0;0;0;0;1;0;0;1;3
893;1;2022;1348.0;0.0;8;38.0;0;0;0;0;1;0;0;1;5
904;2;2021;40262.07;0.0;733;27.0;0;0;0;0;1;0;0;1;3
904;3;2021;66609.67;158.78;1202;28.0;0;0;0;0;1;0;0;1;3
904;4;2021;69492.88;0.0;1140;29.0;0;0;0;0;1;0;0;1;3
904;5;2021;95610.21;0.0;1561;30.0;0;0;0;0;1;0;0;1;3
904;6;2021;24247.91;0.0;426;31.0;0;0;0;0;1;0;0;1;3
915;2;2021;46752.25;0.0;268;26.0;0;0;0;0;1;0;0;1;3
915;2;2021;46752.25;0.0;268;26.0;0;1;0;0;0;0;0;1;3
915;3;2021;55227.12;23.0;304;27.0;0;0;0;0;1;0;0;1;3
915;3;2021;55227.12;23.0;304;27.0;0;1;0;0;0;0;0;1;3
915;4;2021;19894.0;0.0;69;28.0;0;1;0;0;0;0;0;1;3
915;4;2021;19894.0;0.0;69;28.0;0;0;0;0;1;0;0;1;3
915;6;2021;554.0;0.0;2;30.0;0;1;0;0;0;0;0;1;5
926;4;2022;2340.0;0.0;1;40.0;0;1;0;0;0;0;0;1;5
926;6;2022;22293.78;0.0;2;42.0;0;1;0;0;0;0;0;1;5
926;7;2022;5000.0;0.0;1;43.0;0;1;0;0;0;0;0;1;3
926;8;2022;2000.0;0.0;1;44.0;0;1;0;0;0;0;0;1;3
926;9;2022;1200.0;0.0;1;45.0;0;1;0;0;0;0;0;1;3
926;11;2022;12332.78;0.0;2;47.0;0;1;0;0;0;0;0;1;5
955;1;2022;18636.0;0.0;5;37.0;0;0;0;0;1;0;0;1;3
1018;1;2022;5227.5;0.0;31;37.0;0;0;0;0;1;0;0;1;3
1018;2;2022;3417.0;0.0;22;38.0;0;0;0;0;1;0;0;1;3
1018;5;2022;105.0;0.0;2;41.0;0;0;0;0;1;0;0;1;5
1018;6;2022;891.0;0.0;5;42.0;0;0;0;0;1;0;0;1;3
1018;8;2022;270.0;0.0;1;44.0;0;0;0;0;1;0;0;1;5
1018;9;2022;235.0;0.0;2;45.0;0;0;0;0;1;0;0;1;3
1028;2;2021;8856.0;0.0;4;26.0;0;0;0;0;1;0;0;1;3
1028;3;2021;0.1;0.0;1;27.0;0;0;0;0;1;0;0;1;3
1028;4;2021;0.01;0.0;1;28.0;0;0;0;0;1;0;0;1;3
1028;6;2021;0.01;0.0;1;30.0;0;0;0;0;1;0;0;1;5
1032;1;2022;26752.38;2333.87;40;37.0;0;0;0;0;1;0;0;1;3
1032;2;2022;7256.08;15518.14;34;38.0;0;0;0;0;1;0;0;1;3
1032;3;2022;0.0;638.5;1;39.0;0;0;0;0;1;0;0;1;3
1032;4;2022;0.0;1150.0;2;40.0;0;0;0;0;1;0;0;1;3
1032;6;2022;0.0;25500.0;3;42.0;0;0;0;0;1;0;0;1;5
1032;8;2022;0.0;397.66;1;44.0;0;0;0;0;1;0;0;1;5
1032;9;2022;0.0;1800.0;1;45.0;0;0;0;0;1;0;0;1;3
1057;2;2021;400898.0;48397.0;330;26.0;0;0;0;0;1;0;0;1;3
1074;2;2021;1490.0;0.0;3;26.0;0;0;0;0;1;0;0;1;3
1074;3;2021;525.0;0.0;4;27.0;0;0;0;0;1;0;0;1;3
1074;4;2021;4595.0;0.0;12;28.0;0;0;0;0;1;0;0;1;3
1074;5;2021;24705.57;0.0;23;29.0;0;0;0;0;1;0;0;1;3
1074;6;2021;5034.0;0.0;20;30.0;0;0;0;0;1;0;0;1;3
1074;7;2021;6356.0;0.0;16;31.0;0;0;0;0;1;0;0;1;3
1074;8;2021;8314.0;0.0;15;32.0;0;0;0;0;1;0;0;1;3
1074;9;2021;3495.0;0.0;11;33.0;0;0;0;0;1;0;0;1;3
1081;2;2021;21945.75;0.0;64;26.0;0;0;0;0;1;0;0;1;3
1081;3;2021;10630.9;379.0;28;27.0;0;0;0;0;1;0;0;1;3
1081;4;2021;11042.8;0.0;31;28.0;0;0;0;0;1;0;0;1;3
1081;5;2021;21645.2;0.0;57;29.0;0;0;0;0;1;0;0;1;3
1081;6;2021;25645.3;0.0;67;30.0;0;0;0;0;1;0;0;1;3
1081;7;2021;19432.6;0.0;59;31.0;0;0;0;0;1;0;0;1;3
1081;8;2021;24367.55;0.0;74;32.0;0;0;0;0;1;0;0;1;3
1081;9;2021;26144.55;0.0;88;33.0;0;0;0;0;1;0;0;1;3
1081;10;2021;26439.2;0.0;84;34.0;0;0;0;0;1;0;0;1;3
1081;11;2021;21518.9;0.0;68;35.0;0;0;0;0;1;0;0;1;3
