rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_previous_month_mf_delta;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;category_change;already_churn;churn_count;rec_monthly_category
19984;6;2021;15.0;0.0;15.0;1;15.0;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
19989;4;2022;1000.0;0.0;1000.0;1;1000.0;10.0;0;0;0;0;1;0;0;1;0.0;0;0;5
20001;1;2022;3270.7;0.0;-2428.21;-33;83.86;7.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20001;2;2022;6488.95;0.0;3218.25;34;88.89;8.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20001;3;2022;1974.29;0.0;-4514.66;-65;246.79;9.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;1;2022;41660.0;0.0;33649.99;11;1436.55;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;2;2022;4200.0;0.0;-37460.0;-12;247.06;7.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;3;2022;11070.0;0.0;6870.0;17;325.59;8.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;4;2022;6880.0;0.0;-4190.0;-3;221.94;9.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;5;2022;24040.0;0.0;17160.0;-2;828.97;10.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;6;2022;11590.0;0.0;-12450.0;-2;429.26;11.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;7;2022;8740.0;0.0;-2850.0;12;224.1;12.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;8;2022;24370.0;0.0;15630.0;3;580.24;13.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;9;2022;21380.0;5600.0;2610.0;6;562.08;14.0;0;1;0;0;1;0;0;2;0.0;0;0;3
20063;10;2022;17620.0;180.0;-9180.0;-4;404.55;15.0;0;1;0;0;1;0;0;2;0.0;0;0;3
20063;11;2022;27490.0;0.0;9690.0;0;624.77;16.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;12;2022;20300.0;860.0;-6330.0;-1;492.09;17.0;0;1;0;0;1;0;0;2;0.0;0;0;3
20063;1;2023;21060.0;0.0;-100.0;14;369.47;18.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20063;2;2023;6300.0;0.0;-14760.0;-52;1260.0;19.0;0;1;0;0;1;0;0;2;0.0;0;0;3
20117;7;2021;1775.1;0.0;1775.1;6;295.85;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20117;8;2021;1650.0;0.0;-125.1;-4;825.0;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
11384;2;2021;6629.0;0.0;2319.0;0;389.94;3.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;3;2021;5778.46;0.0;-850.54;-3;412.75;4.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;4;2021;2230.0;0.0;-3548.46;0;159.29;5.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;5;2021;6445.0;0.0;4215.0;2;402.81;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;6;2021;6080.0;0.0;-365.0;6;276.36;7.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;7;2021;9310.0;0.0;3230.0;8;310.33;8.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;8;2021;7738.5;0.0;-1571.5;0;257.95;9.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11384;9;2021;376.6;0.0;-7361.9;-26;94.15;10.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;2;2021;4702.46;0.0;1478.3;2;1175.62;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;3;2021;2355.0;0.0;-2347.46;2;392.5;3.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;4;2021;8439.7;0.0;6084.7;-3;2813.23;4.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;5;2021;3863.52;0.0;-4576.18;2;772.7;5.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;6;2021;7254.14;0.0;3390.62;0;1450.83;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;7;2021;1116.57;0.0;-6137.57;-2;372.19;7.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;8;2021;879.69;0.0;-236.88;-2;879.69;8.0;0;0;0;0;1;0;0;1;0.0;0;0;3
11587;12;2021;30.0;0.0;30.0;1;30.0;12.0;0;0;0;0;1;0;0;1;2.0;0;0;5
20141;1;2022;24641.75;0.0;-15403.89;-233;128.34;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20159;7;2021;2910.1;0.0;2910.1;11;264.55;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20159;8;2021;1270.0;0.0;-1640.1;-7;317.5;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20159;9;2021;600.0;0.0;-670.0;-2;300.0;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20159;11;2021;0.5;0.0;0.5;1;0.5;4.0;0;0;0;0;1;0;0;1;2.0;0;0;5
20159;12;2021;0.01;0.0;-0.49;0;0.01;5.0;0;0;0;0;1;0;0;1;-2.0;0;0;3
20199;1;2022;14575.79;0.0;-102.74;19;11.74;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20199;2;2022;12877.47;0.0;-1698.32;-113;11.41;7.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20210;7;2021;14605.03;0.0;14605.03;90;162.28;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20271;1;2022;36.0;0.0;-142.0;-1;36.0;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20274;7;2021;1367.93;0.0;1367.93;6;227.99;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20274;8;2021;13268.05;0.0;11900.12;10;829.25;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20274;9;2021;9525.71;0.0;-3742.34;-1;635.05;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20274;10;2021;16497.27;0.0;6971.56;5;824.86;3.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20277;7;2021;2378.5;0.0;2378.5;77;30.89;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20277;8;2021;2774.0;0.0;395.5;15;30.15;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20277;9;2021;1292.0;0.0;-1482.0;-49;30.05;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20277;10;2021;1332.5;0.0;40.5;4;28.35;3.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20277;11;2021;794.0;0.0;-538.5;-24;34.52;4.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20277;12;2021;1058.47;0.0;264.47;-3;52.92;5.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20289;7;2021;15.0;0.0;15.0;1;15.0;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20294;7;2021;795.0;0.0;795.0;4;198.75;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20294;8;2021;3026.0;0.0;2231.0;2;504.33;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20294;9;2021;6301.0;0.0;3275.0;0;1050.17;2.0;0;0;0;0;1;0;0;1;0.0;0;0;3
